GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gameoflife-web,com.wakaleo.gameoflife.webtests.controllers,GameController,9,174,2,10,3,36,2,14,0,10
gameoflife-web,com.wakaleo.gameoflife.webtests.controllers,HomePageController,0,13,0,0,0,3,0,3,0,3
